Group,Value,Method,N,masked_mae_mean,masked_mae_std,masked_rmse_mean,masked_rmse_std,wrapped_mae_mean,wrapped_mae_std,gradient_mae_mean,gradient_mae_std,gain_mae_mean,gain_mae_std
deformation_type,fault_step,Quality-Guided,6,22.035713,6.3199797,22.42286,6.7758193,4.0278974e-07,8.390071e-08,0.1443308,0.11438039,12.2578535,12.04456
deformation_type,fault_step,UNet Reg.,6,17.045252,4.373146,18.685055,4.7862425,1.5537353,0.054938346,0.2939932,0.10535873,17.248312,5.793251
deformation_type,fault_step,DDPM (Ours),6,19.78076,4.6459956,21.393423,5.2141,1.6364464,0.08014548,0.34730577,0.10694434,14.512805,4.662963
deformation_type,ramp_bowl,Least-Squares,4,7.3531885,4.244584,8.773787,5.327341,1.561505,0.025358362,0.110714436,0.054855745,0.0,0.0
deformation_type,ramp_bowl,Quality-Guided,4,7.721064,3.2567964,7.810246,3.198363,1.1109475e-07,6.7220284e-08,0.052052386,0.021651817,-0.3678757,1.0302244
deformation_type,ramp_bowl,UNet Reg.,4,3.7061417,2.0916212,4.573127,2.3869188,1.4636927,0.16930477,0.12570101,0.015715666,3.6470466,2.1964283
deformation_type,ramp_bowl,DDPM (Ours),4,4.433345,2.8381317,5.0610065,3.2827158,1.6755602,0.12808819,0.15619317,0.03285985,2.9198434,1.4150993
deformation_type,mogi,Least-Squares,6,9.777668,3.379842,14.715362,6.193219,1.5467825,0.09473408,0.17649524,0.07570574,0.0,0.0
deformation_type,mogi,Quality-Guided,6,5.3619957,2.0879083,5.4683194,1.9888831,1.0428871e-07,5.404763e-08,0.044252265,0.014085849,4.415672,2.9210846
deformation_type,mogi,UNet Reg.,6,2.9841173,0.74190974,4.558133,1.866024,1.3257058,0.20800458,0.124172516,0.02407407,6.7935505,2.8270617
deformation_type,mogi,DDPM (Ours),6,4.9141855,1.8572168,7.4840927,3.4756403,1.3882718,0.14769451,0.19094871,0.041763812,4.863482,1.5431389
