sample,source_domain,deformation_type,noise_level,coherence_level,gradient_level,difficulty_score,coarse_mae,ls_masked_mae,ls_masked_rmse,ls_wrapped_mae,ls_gradient_mae,ls_gain_mae,qg_masked_mae,qg_masked_rmse,qg_wrapped_mae,qg_gradient_mae,qg_gain_mae,unet_masked_mae,unet_masked_rmse,unet_wrapped_mae,unet_gradient_mae,unet_gain_mae,ddpm_masked_mae,ddpm_masked_rmse,ddpm_wrapped_mae,ddpm_gradient_mae,ddpm_gain_mae
real__20170522_20180809_y02432_x01536.npz,real,observed,observed,observed,observed,4.732951641082764,8.582937,8.582937,9.197049,1.5053533,0.9211831,0.0,5.0609527,5.141245,1.0943976e-08,0.6537248,3.5219846,4.5291386,4.9828134,1.8587396,0.63296926,4.0537987,5.738312,6.0171666,1.30759,0.6158977,2.8446255
real__20170522_20180809_y02432_x01920.npz,real,observed,observed,observed,observed,4.728728771209717,12.86837,12.86837,13.999396,1.573963,0.8894523,0.0,14.04951,14.620933,1.3730028e-07,0.87815464,-1.18114,6.8065553,7.353726,1.7715067,0.5484512,6.061815,7.410582,8.115421,1.1867634,0.57049024,5.457788
real__20170522_20180809_y02688_x00384.npz,real,observed,observed,observed,observed,6.09684944152832,23.658026,23.658026,24.17818,1.5874211,2.1746833,0.0,22.800213,22.970957,1.374026e-07,1.8555926,0.8578129,16.246933,16.509352,2.076793,1.518712,7.4110928,16.251991,16.53033,1.7252377,1.5067489,7.4060345
real__20170522_20180809_y02688_x00896.npz,real,observed,observed,observed,observed,5.618255615234375,15.396633,15.396633,16.402864,1.5825769,1.5803138,0.0,16.44848,16.875769,1.0676127e-07,1.5336382,-1.0518475,9.053245,9.506131,1.2900411,1.1143727,6.3433886,10.9477625,11.404126,1.6610757,1.080063,4.4488707
real__20170522_20180809_y03072_x00896.npz,real,observed,observed,observed,observed,6.084704875946045,33.192097,33.192097,33.314034,1.4705577,2.4567006,0.0,29.85254,29.883005,1.9887112e-07,2.2387905,3.3395576,19.723145,19.741615,2.1305053,1.5682124,13.468952,21.096743,21.14509,1.9737456,1.5821809,12.095354
real__20170522_20180809_y03200_x00640.npz,real,observed,observed,observed,observed,6.105929374694824,31.420576,31.420576,31.469795,1.4930128,1.4700927,0.0,29.955776,29.975538,2.2832674e-07,1.4632082,1.4647999,21.854395,21.860537,1.9788376,0.96170187,9.566181,20.385258,20.40376,2.4399493,1.0050579,11.035318
real__20170522_20180809_y03584_x01664.npz,real,observed,observed,observed,observed,3.7603132724761963,5.6302223,5.6302223,6.2938695,1.6631014,0.5194818,0.0,5.7246966,6.0596294,9.4024934e-08,0.3823397,-0.094474316,2.2685344,2.5023022,2.0641656,0.23387378,3.361688,1.3720515,1.6263822,1.7258373,0.27663487,4.258171
real__20170522_20180809_y03840_x01152.npz,real,observed,observed,observed,observed,4.64583158493042,11.919933,11.919933,12.040476,1.3584608,1.5578424,0.0,11.302706,11.305407,1.2592375e-07,1.1275308,0.61722755,4.967654,5.0045924,0.43790528,0.75264,6.952279,4.972837,5.0417547,0.6191308,0.7694794,6.9470963
real__20170522_20180809_y03840_x01664.npz,real,observed,observed,observed,observed,3.171757936477661,3.4410245,3.4410245,3.7506993,1.546974,0.7460783,0.0,5.0028734,5.030014,1.1697236e-07,0.67460126,-1.5618489,0.7768654,0.93353987,1.9471033,0.42282307,2.664159,0.5953675,0.8090149,1.1037854,0.4619875,2.845657
real__20170522_20180809_y03968_x00896.npz,real,observed,observed,observed,observed,5.420591831207275,14.105222,14.105222,14.290616,1.6474577,1.51126,0.0,11.873491,12.015996,7.42722e-08,1.0749567,2.2317305,8.966361,9.042395,2.0743456,0.86652875,5.1388607,7.5083513,7.6263843,2.1882138,0.8802028,6.5968704
